"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000105552.15","ENSG00000105552.15",-0.401240740711213,0.669488868409569,0.0110371623113477,"138","83","1.49367681403813",0.54566807238563,0.0215403801460265,"ENSG00000105552","BCAT2","branched chain amino acid transaminase 2"
"ENSG00000165792.18","ENSG00000165792.18",-0.365606355193183,0.693775848724307,0.0247203086849915,"76","145","1.4413877361669",0.526397266855282,0.0205049543256631,"ENSG00000165792","METTL17","methyltransferase like 17"
"ENSG00000248518.1","ENSG00000248518.1",-0.426834743904338,0.652571384716846,0.0298920471822044,"176","45","1.53239940245603",0.546308653178882,0.0160360856655706,"ENSG00000248518",NA,NA
"ENSG00000114030.13","ENSG00000114030.13",0.400202027579301,1.49212611782025,0.0495291321304656,"182","39","0.670184636578064",0.522260182565526,0.0156990264813734,"ENSG00000114030","KPNA1","karyopherin subunit alpha 1"
"ENSG00000103966.11","ENSG00000103966.11",0.325039345259216,1.38408510209657,0.0381865051844585,"146","75","0.7224989261753",0.542305023221054,0.0210238334832049,"ENSG00000103966","EHD4","EH domain containing 4"
"ENSG00000090530.10","ENSG00000090530.10",0.472381865532019,1.60380970645347,0.0367666226747187,"34","187","0.623515368423174",0.522980835957935,0.01728962263667,"ENSG00000090530","P3H2","prolyl 3-hydroxylase 2"
"ENSG00000043143.20","ENSG00000043143.20",0.559581100336455,1.74993929775462,0.0398614001602971,"18","203","0.57144839325748",0.528692681364437,0.0132537711996097,"ENSG00000043143","JADE2","jade family PHD finger 2"
"ENSG00000144048.10","ENSG00000144048.10",-0.324347164021369,0.722999199496292,0.0383042622617294,"134","87","1.3831273958487",0.546175198846955,0.0210715672485387,"ENSG00000144048","DUSP11","dual specificity phosphatase 11"
"ENSG00000101680.15","ENSG00000101680.15",0.393360239482865,1.48195215085896,0.0312892905438989,"58","163","0.674785619374004",0.515614156835531,0.020783777149173,"ENSG00000101680","LAMA1","laminin subunit alpha 1"
"ENSG00000267280.5","ENSG00000267280.5",-0.538503465535883,0.583621008109203,0.0200771100093451,"191","30","1.71344071941442",0.51353226925746,0.0177021985628362,"ENSG00000267280","LOC101927855","uncharacterized LOC101927855"
"ENSG00000144115.17","ENSG00000144115.17",0.39540426093928,1.48498439077869,0.023339489353327,"68","153","0.673407751764732",0.551780280787914,0.0198078374332834,"ENSG00000144115","THNSL2","threonine synthase like 2"
"ENSG00000282851.2","ENSG00000282851.2",0.358955355233901,1.43183287630085,0.0258985848554792,"81","140","0.698405530807134",0.527144611114077,0.02222047518533,"ENSG00000282851","BISPR","BST2 interferon stimulated positive regulator"
"ENSG00000138303.18","ENSG00000138303.18",-0.66134170232793,0.516158338853907,0.00440703160053607,"185","36","1.93738999203312",0.536326269150697,0.0164719800887609,"ENSG00000138303","ASCC1","activating signal cointegrator 1 complex subunit 1"
"ENSG00000134802.18","ENSG00000134802.18",0.724625283024544,2.06395755511282,0.0346855738795543,"17","204","0.484506087599915",0.526610793786366,0.0107118248273652,"ENSG00000134802","SLC43A3","solute carrier family 43 member 3"
"ENSG00000075413.19","ENSG00000075413.19",-0.370257582284553,0.690556432623122,0.0149477527657694,"101","120","1.44810757348453",0.544493674264667,0.0218471170081706,"ENSG00000075413","MARK3","microtubule affinity regulating kinase 3"
